173272420		3    
192595267		3    
206971305		3    
207740861		5    
210939629		4    
210939629		5    
219953492		5  
229767093		3    
230146401		2    
257762995		
266415667		2    
267318706		3    
284647928		5    
289507380		4    
303079153		4    
312436553		5    
323157711		5    
323543502		 
330061509		4    
349692605		 
354617175		4    
356334852		3    
360825762		5    
364654190		4    
377272275		4    
378209038		5    
385423805		3    
387332168		2    
401012415		3    
403315464		4    
404947280		3    
407796912		5    
408004101		4    
410771084		4    
412333729		5    
414673125		 
416633978		4    
417977718		3    
419571354		3    
419969992		2    
426939151		3    
429920053		 
432180409		3    
439476112		2    
443034515		4    
443953629		4    
459439641		н    
462979747		5    
465309009		2    
472658093		4    
476841404		5    
481919114		5    
482197805		4    
497073007		 
498288630		3    
498622051		2    
499052735		4    
501196400		5    
502365811		4    
513888228		4    
517715321		3    
531071677		5    
531132664		3    
532843120		3    
537436512		2  
543194105		3    
543819922		4    
550158265		н    
560723546		5    
562131884		4    
562262866		
562706515		4    
563982917		4    
566773107		
570410850		4    
570512991		4    
581030409		4    
584529471		3    
586455712		5    
590914146		 
598315111		3    
598711368		2    
599504746		3    
613920282		3    
621910857		3    
627001973		4    
627269886		3    
632141476		2    
633011980		3    
636173900		3    
637096938		2    
641478849		3    
644090975		2    
644522502		2    
646159034		4    
650073099		 
661733394		5    
662984451		3    
666341331		4    
667390810		4    
670534377		2    
672751174		 
675270743		2    
676138013		3    
681347571		4    
683558379		5    
689726387		4    
691585295		3    
693968892		3  
694144143		3    
695938988		2    
702663535		2    
703609939		3    
707202616		3    
709635441		4    
714564364		3    
716378119		3    
717604665		5    
724233682		3    
728425199		5    
728899023		3    
729474297		4    
735268799		5    
738672033		3    
739780360		н    
748833098		5    
748841668		3    
748965079		4    
751421270		4    
751683261		н    
753388843		4  
761735235		4    
766224878		4    
769320012		5    
769514792		2    
774544507		н    
779112164		5    
780421284		3    
780756656		5    
782593668		5    
784468617		4    
784687717		5    
785935666		3    
788003025		н    
789551439		3    
800866313		2    
801718701		5    
805663503		5    
806803035		3    
808511397		3    
809196456		2    
812837164		2    
813662095		4    
815606181		3    
817035174		3    
820205082		4    
822867265		3    
823641986		3    
826403506		4    
